Gene_Symbol,Uniprot_ID,Polar,Neutral,Hydrophobicity,0-2.78,2.95-4.0,4.03-8.08,4.9-6.2,8.0-9.2,10.4-13.0,0-1.08,0.128-0.186,0.219-0.409,Positive,Neutral,Negative,Buried,Exposed,Intermediate,Helix,Strand,Coil,(-0.20~0.16),(-0.3~ -0.52),(-0.98~ -2.46),High (5-21%),Medium (1.12-3.64%),Low (0-0.83%),High (1.21-2.02),Medium (0.63-1.12),Low (0.14-0.29),High (4-30%) ,Medium (1-3%) ,Low (0-1%) ,High (25-100%) ,Medium (5-18%) ,Low (0-4%) ,High (0.25-11) ,Medium (-0.25 – 0.17) ,Low (-0.3 - -0.8) ,High (1.18-2.07) ,Medium (0.84-1.16) ,Low (0.41-0.8) ,High (0.95-1.8) ,Medium (0.5-0.95) ,Low (0-0.5) ,High (?2.25) ,Medium (1.6-2.3) ,Low (?1.5) ,High  (?1.4) ,Medium (0.79-1.21) ,Low (?0.76) ,High (477-1197) ,Medium (95-423) ,Low (<95) ,Low (75-105),Medium (115-155),High (165-204),(-4.2 - -3.3),(-3.07 – 2.26),(-1.78 - -1.05),>1,1,0,>1,1,0,High (9-65 g/100g) ,Medium (1.14-7.44 g/100g) ,Low (0.048-0.82,Very flexible,Moderately flexible,Less flexible,Target
BCKDHB,P21953,27.5,47.5,25,45,28.75,26.25,26.25,42.5,31.25,38.75,35,26.25,11.25,81.25,7.5,51.25,27.5,21.25,58.75,20,21.25,53.75,13.75,32.5,31.25,50,18.75,45,51.25,3.75,23.75,18.75,57.5,30,12.5,57.5,31.25,50,18.75,26.25,53.75,20,28.75,56.25,15,37.5,56.25,6.25,37.5,53.75,8.75,41.25,47.5,11.25,18.75,48.75,32.5,32.5,45,22.5,27.5,65,7.5,12.5,38.75,48.75,15,35,50,22.5,27.5,50,0
BCKDHA,P12694,31.25,38.75,30,40,37.5,22.5,31.25,36.25,32.5,31.25,46.25,22.5,12.5,81.25,6.25,48.75,31.25,20,52.5,18.75,28.75,47.5,12.5,40,27.5,55,17.5,32.5,62.5,5,26.25,16.25,57.5,30,12.5,57.5,32.5,41.25,26.25,31.25,48.75,20,38.75,46.25,15,41.25,46.25,12.5,40,50,10,41.25,46.25,12.5,16.25,63.75,20,31.25,47.5,21.25,32.5,58.75,8.75,8.75,46.25,45,10,42.5,47.5,18.75,30,51.25,0
ANK2,Q01484,41.25,36.25,22.5,40,35,25,23.75,32.5,43.75,37.5,37.5,25,16.25,72.5,11.25,41.25,41.25,17.5,50,13.75,36.25,50,26.25,23.75,30,60,10,40,52.5,7.5,32.5,22.5,45,33.75,21.25,45,43.75,40,16.25,47.5,36.25,16.25,40,45,15,25,57.5,17.5,51.25,43.75,5,53.75,33.75,12.5,22.5,52.5,25,41.25,32.5,26.25,33.75,61.25,5,7.5,50,42.5,10,52.5,37.5,21.25,40,38.75,0
CAPN3,P20807,26.25,48.75,25,46.25,31.25,22.5,27.5,43.75,28.75,32.5,45,22.5,12.5,78.75,8.75,41.25,26.25,32.5,40,27.5,32.5,30,31.25,38.75,26.25,63.75,10,36.25,60,3.75,20,25,55,20,25,55,28.75,55,16.25,37.5,50,12.5,41.25,46.25,12.5,28.75,47.5,23.75,41.25,43.75,15,43.75,50,6.25,18.75,56.25,25,35,43.75,21.25,27.5,58.75,13.75,10,40,50,11.25,43.75,45,17.5,33.75,48.75,0
AARS2,Q5JTZ9,26.25,48.75,25,47.5,21.25,31.25,25,45,30,38.75,30,31.25,18.75,77.5,3.75,47.5,26.25,26.25,55,13.75,31.25,52.5,13.75,33.75,36.25,40,23.75,43.75,53.75,2.5,26.25,16.25,57.5,28.75,13.75,57.5,30,51.25,18.75,22.5,60,17.5,40,45,15,37.5,58.75,3.75,38.75,50,11.25,42.5,46.25,11.25,25,51.25,23.75,42.5,38.75,18.75,36.25,61.25,2.5,10,50,40,12.5,38.75,48.75,25,25,50,0
CLCN2,P51788,31.25,46.25,22.5,46.25,26.25,27.5,27.5,40,32.5,33.75,38.75,27.5,15,72.5,12.5,43.75,31.25,25,58.75,18.75,22.5,43.75,26.25,30,30,50,20,47.5,46.25,6.25,20,26.25,53.75,30,16.25,53.75,32.5,52.5,15,31.25,45,23.75,32.5,52.5,15,41.25,43.75,15,40,43.75,16.25,41.25,42.5,16.25,25,38.75,36.25,40,32.5,27.5,28.75,61.25,10,13.75,41.25,45,17.5,28.75,53.75,31.25,25,43.75,0
ARSA,P15289,16.25,51.25,32.5,55,28.75,16.25,36.25,46.25,17.5,43.75,40,16.25,6.25,87.5,6.25,56.25,16.25,27.5,41.25,23.75,35,42.5,15,42.5,31.25,55,13.75,40,50,10,11.25,22.5,66.25,17.5,16.25,66.25,17.5,57.5,25,21.25,50,28.75,31.25,43.75,25,33.75,63.75,2.5,37.5,50,12.5,38.75,40,21.25,12.5,58.75,28.75,30,38.75,31.25,16.25,72.5,11.25,11.25,53.75,35,12.5,57.5,30,17.5,23.75,58.75,0
ARHGAP26,Q9UNA1,40,30,30,41.25,32.5,26.25,30,27.5,42.5,35,38.75,26.25,15,65,20,40,40,20,50,20,30,31.25,40,28.75,21.25,68.75,10,33.75,56.25,10,22.5,33.75,43.75,30,26.25,43.75,42.5,31.25,26.25,41.25,33.75,25,38.75,45,16.25,28.75,43.75,27.5,37.5,55,7.5,40,42.5,17.5,18.75,46.25,35,32.5,31.25,36.25,30,57.5,12.5,13.75,42.5,43.75,15,48.75,36.25,25,43.75,31.25,0
CEBPA,P49715,21.25,60,18.75,61.25,21.25,17.5,21.25,53.75,25,41.25,41.25,17.5,2.5,82.5,15,40,21.25,38.75,41.25,16.25,42.5,40,21.25,38.75,33.75,55,11.25,28.75,62.5,8.75,10,28.75,61.25,25,13.75,61.25,25,57.5,17.5,28.75,55,16.25,40,55,5,42.5,43.75,13.75,26.25,51.25,22.5,30,62.5,7.5,11.25,53.75,35,27.5,52.5,20,21.25,71.25,7.5,13.75,32.5,53.75,16.25,33.75,50,23.75,25,51.25,0
ADCY6,O43306,33.75,45,21.25,52.5,15,32.5,22.5,43.75,33.75,36.25,31.25,32.5,21.25,70,8.75,38.75,33.75,27.5,40,21.25,38.75,43.75,25,31.25,26.25,50,23.75,50,43.75,6.25,25,25,50,27.5,22.5,50,33.75,51.25,15,33.75,47.5,18.75,46.25,43.75,10,50,38.75,11.25,51.25,30,18.75,51.25,38.75,10,25,51.25,23.75,48.75,32.5,18.75,32.5,53.75,13.75,12.5,48.75,38.75,15,38.75,46.25,25,35,40,0
COX15,Q7KZN9,26.25,41.25,32.5,43.75,33.75,22.5,35,38.75,26.25,30,47.5,22.5,16.25,80,3.75,48.75,26.25,25,51.25,22.5,26.25,38.75,20,41.25,25,56.25,18.75,41.25,55,3.75,22.5,18.75,58.75,23.75,17.5,58.75,26.25,52.5,21.25,26.25,48.75,25,33.75,40,26.25,41.25,51.25,7.5,43.75,41.25,15,43.75,36.25,20,20,58.75,21.25,36.25,33.75,30,31.25,57.5,11.25,8.75,51.25,40,10,45,45,20,27.5,52.5,0
AIPL1,Q9NZN9,30,28.75,41.25,31.25,41.25,27.5,41.25,25,33.75,27.5,45,27.5,11.25,76.25,12.5,46.25,30,23.75,43.75,32.5,23.75,32.5,25,42.5,15,72.5,12.5,31.25,63.75,5,21.25,25,53.75,28.75,17.5,53.75,33.75,33.75,32.5,31.25,45,23.75,37.5,43.75,18.75,30,47.5,22.5,37.5,52.5,10,41.25,41.25,17.5,21.25,55,23.75,35,33.75,31.25,27.5,52.5,20,11.25,56.25,32.5,17.5,56.25,26.25,22.5,36.25,41.25,0
C1QTNF5,Q9BXJ0,22.5,57.5,20,62.5,22.5,15,20,53.75,26.25,42.5,42.5,15,10,80,10,48.75,22.5,28.75,38.75,5,56.25,51.25,11.25,37.5,33.75,58.75,7.5,42.5,50,7.5,16.25,15,68.75,23.75,7.5,68.75,26.25,56.25,17.5,36.25,46.25,17.5,42.5,40,17.5,37.5,56.25,6.25,42.5,36.25,21.25,46.25,36.25,17.5,15,67.5,17.5,43.75,28.75,27.5,20,76.25,3.75,5,56.25,38.75,6.25,56.25,37.5,21.25,12.5,66.25,0
ATP13A2,Q9NQ11,11.25,48.75,40,48.75,27.5,23.75,43.75,43.75,12.5,37.5,38.75,23.75,8.75,88.75,2.5,50,11.25,38.75,28.75,33.75,37.5,25,25,50,28.75,53.75,17.5,31.25,62.5,6.25,10,32.5,57.5,11.25,31.25,57.5,12.5,60,27.5,27.5,43.75,28.75,35,40,25,35,58.75,6.25,45,40,15,46.25,35,18.75,17.5,68.75,13.75,48.75,23.75,27.5,28.75,52.5,18.75,13.75,61.25,25,17.5,62.5,20,15,35,50,0
AGGF1,Q8N302,46.25,32.5,21.25,30,46.25,23.75,22.5,28.75,48.75,17.5,58.75,23.75,18.75,65,16.25,25,46.25,28.75,63.75,12.5,23.75,31.25,36.25,32.5,13.75,72.5,13.75,28.75,70,1.25,32.5,30,37.5,42.5,20,37.5,48.75,35,16.25,42.5,41.25,16.25,40,42.5,17.5,35,40,25,43.75,42.5,13.75,46.25,38.75,15,23.75,50,26.25,32.5,33.75,33.75,38.75,53.75,7.5,5,45,50,6.25,35,58.75,32.5,32.5,35,0
AQP5,P55064,12.5,42.5,45,42.5,40,17.5,45,41.25,13.75,36.25,46.25,17.5,5,92.5,2.5,70,12.5,17.5,46.25,31.25,22.5,32.5,18.75,48.75,31.25,58.75,10,37.5,62.5,0,11.25,13.75,75,8.75,16.25,75,13.75,50,36.25,27.5,42.5,30,22.5,51.25,26.25,20,65,15,30,62.5,7.5,31.25,48.75,20,7.5,67.5,25,23.75,47.5,28.75,15,70,15,12.5,48.75,38.75,13.75,55,31.25,3.75,32.5,63.75,0
BMPR1A,P36894,28.75,38.75,32.5,43.75,35,21.25,37.5,31.25,31.25,33.75,45,21.25,7.5,82.5,10,41.25,28.75,30,36.25,28.75,35,36.25,26.25,37.5,20,70,10,31.25,56.25,12.5,21.25,28.75,50,26.25,23.75,50,31.25,43.75,25,35,37.5,27.5,41.25,40,18.75,36.25,48.75,15,46.25,40,13.75,48.75,31.25,20,18.75,56.25,25,35,36.25,28.75,26.25,55,18.75,15,53.75,31.25,18.75,57.5,23.75,20,41.25,38.75,0
ARL13B,Q3SXY8,28.75,35,36.25,40,31.25,28.75,37.5,33.75,28.75,33.75,37.5,28.75,15,76.25,8.75,52.5,28.75,18.75,40,32.5,27.5,36.25,25,38.75,23.75,58.75,17.5,43.75,51.25,5,20,22.5,57.5,21.25,21.25,57.5,28.75,45,26.25,35,41.25,23.75,35,47.5,17.5,33.75,47.5,18.75,45,45,10,45,41.25,13.75,20,56.25,23.75,40,33.75,26.25,25,57.5,17.5,12.5,51.25,36.25,16.25,51.25,32.5,17.5,37.5,45,0
AHI1,Q8N157,43.75,33.75,22.5,36.25,32.5,31.25,23.75,28.75,47.5,31.25,37.5,31.25,21.25,60,18.75,21.25,43.75,35,51.25,22.5,26.25,23.75,47.5,28.75,12.5,78.75,8.75,35,56.25,8.75,28.75,41.25,30,32.5,37.5,30,47.5,33.75,18.75,40,45,15,47.5,40,12.5,25,43.75,31.25,47.5,43.75,8.75,51.25,36.25,12.5,30,37.5,32.5,40,28.75,31.25,38.75,45,16.25,6.25,48.75,45,10,50,40,30,45,25,0
CNNM4,Q6P4Q7,18.75,47.5,33.75,50,35,15,35,46.25,18.75,40,45,15,8.75,88.75,2.5,60,18.75,21.25,38.75,22.5,38.75,45,15,40,35,53.75,11.25,43.75,53.75,2.5,16.25,15,68.75,17.5,13.75,68.75,18.75,58.75,22.5,36.25,41.25,22.5,27.5,47.5,25,28.75,65,6.25,47.5,40,12.5,47.5,33.75,18.75,12.5,70,17.5,40,32.5,27.5,21.25,67.5,11.25,6.25,61.25,32.5,8.75,61.25,30,11.25,26.25,62.5,0
ACAD8,Q9UKU7,33.75,30,36.25,37.5,32.5,30,36.25,28.75,35,28.75,41.25,30,13.75,73.75,12.5,46.25,33.75,20,51.25,22.5,26.25,38.75,23.75,37.5,21.25,61.25,17.5,36.25,58.75,5,22.5,22.5,55,30,15,55,35,38.75,26.25,33.75,37.5,28.75,31.25,48.75,20,42.5,43.75,13.75,37.5,47.5,15,38.75,41.25,20,21.25,52.5,26.25,37.5,30,32.5,31.25,58.75,10,13.75,45,41.25,20,41.25,38.75,22.5,38.75,38.75,0
CDKN1C,P49918,36.25,35,28.75,41.25,33.75,25,30,32.5,37.5,35,40,25,12.5,72.5,15,37.5,36.25,26.25,51.25,20,28.75,42.5,23.75,33.75,21.25,58.75,20,32.5,58.75,8.75,22.5,33.75,43.75,37.5,18.75,43.75,37.5,40,22.5,30,45,25,32.5,48.75,18.75,43.75,48.75,7.5,42.5,47.5,10,43.75,38.75,17.5,18.75,51.25,30,35,31.25,33.75,32.5,57.5,10,10,51.25,38.75,13.75,47.5,38.75,30,35,35,0
COL9A2,Q14055,21.25,61.25,17.5,67.5,22.5,10,17.5,61.25,21.25,43.75,46.25,10,8.75,82.5,8.75,48.75,21.25,30,32.5,10,57.5,46.25,12.5,41.25,36.25,60,3.75,42.5,51.25,6.25,12.5,13.75,73.75,16.25,10,73.75,21.25,67.5,11.25,37.5,53.75,8.75,42.5,43.75,13.75,37.5,52.5,10,40,35,25,40,51.25,8.75,10,70,20,36.25,41.25,22.5,16.25,80,3.75,0,43.75,56.25,1.25,51.25,47.5,12.5,15,72.5,0
CDCA7,Q9BWT1,40,33.75,26.25,42.5,23.75,33.75,27.5,31.25,41.25,35,31.25,33.75,22.5,67.5,10,31.25,40,28.75,46.25,21.25,32.5,38.75,33.75,27.5,23.75,56.25,20,38.75,52.5,8.75,31.25,30,38.75,32.5,28.75,38.75,41.25,42.5,16.25,36.25,43.75,20,41.25,42.5,16.25,42.5,45,12.5,52.5,36.25,11.25,53.75,32.5,13.75,28.75,47.5,23.75,46.25,27.5,26.25,46.25,45,8.75,11.25,50,38.75,15,46.25,38.75,26.25,47.5,26.25,0
CD40,P25942,28.75,33.75,37.5,42.5,38.75,18.75,38.75,27.5,33.75,22.5,58.75,18.75,6.25,81.25,12.5,42.5,28.75,28.75,45,33.75,21.25,27.5,38.75,33.75,11.25,78.75,10,33.75,62.5,3.75,21.25,30,48.75,31.25,20,48.75,33.75,46.25,20,31.25,36.25,32.5,28.75,41.25,30,41.25,45,13.75,35,43.75,21.25,40,33.75,26.25,13.75,50,36.25,25,32.5,42.5,25,50,25,23.75,38.75,37.5,25,41.25,33.75,22.5,45,32.5,0
AICDA,Q9GZX7,36.25,27.5,36.25,30,28.75,41.25,43.75,18.75,37.5,25,33.75,41.25,20,70,10,41.25,36.25,22.5,42.5,32.5,25,36.25,22.5,41.25,13.75,55,31.25,35,50,15,27.5,31.25,41.25,31.25,27.5,41.25,37.5,36.25,26.25,26.25,37.5,36.25,47.5,30,22.5,47.5,42.5,10,48.75,43.75,7.5,50,31.25,18.75,31.25,48.75,20,46.25,21.25,32.5,31.25,56.25,12.5,22.5,50,27.5,25,47.5,27.5,32.5,38.75,28.75,0
CORO1A,P31146,27.5,40,32.5,46.25,28.75,25,33.75,36.25,30,36.25,38.75,25,12.5,80,7.5,50,27.5,22.5,37.5,32.5,30,40,26.25,33.75,26.25,58.75,15,41.25,52.5,6.25,22.5,22.5,55,23.75,21.25,55,30,55,15,33.75,46.25,20,31.25,46.25,22.5,36.25,53.75,10,43.75,45,11.25,46.25,42.5,11.25,17.5,56.25,26.25,36.25,33.75,30,28.75,58.75,12.5,16.25,38.75,45,17.5,48.75,33.75,17.5,40,42.5,0
B2M,P61769,31.25,36.25,32.5,36.25,40,23.75,35,30,35,30,46.25,23.75,11.25,76.25,12.5,41.25,31.25,27.5,43.75,22.5,33.75,31.25,30,38.75,23.75,63.75,12.5,23.75,68.75,7.5,22.5,31.25,46.25,28.75,25,46.25,35,41.25,23.75,40,37.5,22.5,38.75,40,21.25,27.5,53.75,18.75,41.25,51.25,7.5,45,40,15,18.75,61.25,20,38.75,27.5,33.75,32.5,58.75,8.75,12.5,48.75,38.75,13.75,55,31.25,23.75,36.25,40,0
ABCA12,Q86UK0,18.75,33.75,47.5,36.25,38.75,25,48.75,31.25,20,23.75,51.25,25,8.75,88.75,2.5,53.75,18.75,27.5,38.75,40,21.25,22.5,21.25,56.25,11.25,71.25,17.5,28.75,67.5,3.75,17.5,22.5,60,15,25,60,20,40,40,18.75,46.25,35,40,35,25,38.75,47.5,13.75,33.75,52.5,13.75,35,43.75,21.25,12.5,67.5,20,23.75,48.75,27.5,20,53.75,26.25,17.5,50,32.5,18.75,52.5,28.75,8.75,42.5,48.75,0
ALOXE3,Q9BYJ1,31.25,36.25,32.5,38.75,31.25,30,37.5,30,32.5,31.25,38.75,30,17.5,72.5,10,45,31.25,23.75,47.5,30,22.5,36.25,26.25,37.5,18.75,61.25,20,43.75,46.25,10,22.5,26.25,51.25,26.25,22.5,51.25,32.5,47.5,20,27.5,45,27.5,35,40,25,37.5,50,12.5,46.25,43.75,10,47.5,33.75,18.75,26.25,46.25,27.5,38.75,26.25,35,27.5,60,12.5,13.75,48.75,37.5,16.25,48.75,35,27.5,31.25,41.25,0
ALOX12B,O75342,28.75,41.25,30,41.25,33.75,25,33.75,33.75,32.5,37.5,37.5,25,11.25,78.75,10,45,28.75,26.25,42.5,32.5,25,40,25,35,21.25,63.75,15,38.75,51.25,10,22.5,28.75,48.75,27.5,23.75,48.75,32.5,45,22.5,31.25,47.5,21.25,35,47.5,17.5,32.5,52.5,15,47.5,47.5,5,51.25,36.25,12.5,20,52.5,27.5,35,37.5,27.5,27.5,55,17.5,13.75,50,36.25,15,55,30,23.75,35,41.25,0
CDH3,P22223,28.75,38.75,32.5,47.5,37.5,15,32.5,38.75,28.75,35,50,15,6.25,80,13.75,52.5,28.75,18.75,48.75,22.5,28.75,40,25,35,26.25,62.5,11.25,38.75,57.5,3.75,15,23.75,61.25,27.5,11.25,61.25,28.75,50,21.25,35,38.75,26.25,21.25,55,23.75,36.25,52.5,11.25,35,50,15,35,45,20,8.75,56.25,35,25,37.5,37.5,18.75,70,11.25,11.25,42.5,46.25,13.75,45,41.25,18.75,32.5,48.75,0
APCDD1,Q8J025,23.75,45,31.25,36.25,28.75,35,32.5,33.75,33.75,27.5,37.5,35,13.75,80,6.25,40,23.75,36.25,56.25,17.5,26.25,37.5,23.75,38.75,22.5,60,17.5,31.25,66.25,2.5,27.5,25,47.5,30,22.5,47.5,33.75,38.75,27.5,28.75,43.75,27.5,41.25,40,18.75,33.75,55,11.25,38.75,48.75,12.5,48.75,31.25,20,28.75,53.75,17.5,48.75,26.25,25,40,48.75,11.25,18.75,52.5,28.75,22.5,42.5,35,27.5,32.5,40,0
ALPL,P05186,31.25,33.75,35,33.75,42.5,23.75,37.5,28.75,33.75,28.75,47.5,23.75,11.25,80,8.75,45,31.25,23.75,48.75,27.5,23.75,33.75,26.25,40,17.5,73.75,8.75,33.75,60,6.25,25,23.75,51.25,25,23.75,51.25,33.75,40,26.25,35,40,25,36.25,41.25,22.5,26.25,55,18.75,42.5,48.75,8.75,45,36.25,18.75,20,55,25,31.25,37.5,31.25,26.25,58.75,15,10,48.75,41.25,13.75,53.75,32.5,16.25,40,43.75,0
CNNM2,Q9H8M5,21.25,43.75,35,51.25,32.5,16.25,35,43.75,21.25,40,43.75,16.25,11.25,82.5,6.25,65,21.25,13.75,56.25,20,23.75,45,23.75,31.25,37.5,53.75,8.75,55,45,0,15,13.75,71.25,17.5,11.25,71.25,21.25,55,23.75,32.5,41.25,26.25,22.5,52.5,25,26.25,58.75,15,36.25,48.75,15,36.25,38.75,25,15,50,35,35,33.75,31.25,21.25,62.5,16.25,8.75,52.5,38.75,12.5,45,42.5,13.75,26.25,60,0
CLDN19,Q8N6F1,17.5,47.5,35,47.5,36.25,16.25,40,41.25,18.75,43.75,40,16.25,2.5,92.5,5,57.5,17.5,25,43.75,26.25,30,40,21.25,38.75,36.25,53.75,10,33.75,57.5,8.75,13.75,28.75,57.5,16.25,26.25,57.5,18.75,52.5,28.75,37.5,32.5,30,25,53.75,21.25,28.75,61.25,10,45,48.75,6.25,46.25,33.75,20,11.25,65,23.75,38.75,35,26.25,26.25,57.5,16.25,13.75,52.5,33.75,16.25,57.5,26.25,11.25,37.5,51.25,0
CLDN16,Q9Y5I7,25,43.75,31.25,46.25,27.5,26.25,36.25,33.75,30,31.25,42.5,26.25,12.5,82.5,5,40,25,35,45,31.25,23.75,36.25,30,33.75,18.75,66.25,15,41.25,50,8.75,25,26.25,48.75,26.25,25,48.75,30,53.75,16.25,25,46.25,28.75,35,38.75,26.25,42.5,51.25,6.25,46.25,36.25,17.5,51.25,26.25,22.5,25,46.25,28.75,37.5,31.25,31.25,33.75,47.5,18.75,20,46.25,33.75,22.5,45,32.5,23.75,40,36.25,0
AKT2,P31751,36.25,31.25,32.5,31.25,35,33.75,36.25,26.25,37.5,20,46.25,33.75,17.5,72.5,10,37.5,36.25,26.25,43.75,30,26.25,28.75,28.75,42.5,12.5,66.25,21.25,32.5,61.25,6.25,27.5,27.5,45,28.75,26.25,45,37.5,37.5,25,35,38.75,26.25,47.5,36.25,16.25,41.25,37.5,21.25,45,41.25,13.75,46.25,40,13.75,25,55,20,38.75,35,26.25,30,53.75,16.25,16.25,45,38.75,18.75,41.25,40,23.75,41.25,35,0
CHD7,Q9P2D1,33.75,41.25,25,38.75,37.5,23.75,28.75,32.5,38.75,28.75,47.5,23.75,2.5,85,12.5,31.25,33.75,35,43.75,17.5,38.75,42.5,21.25,36.25,20,71.25,8.75,21.25,70,8.75,26.25,26.25,47.5,36.25,16.25,47.5,38.75,38.75,22.5,46.25,28.75,25,35,55,10,42.5,45,12.5,46.25,36.25,17.5,51.25,32.5,16.25,18.75,61.25,20,36.25,41.25,22.5,32.5,60,7.5,15,46.25,38.75,22.5,45,32.5,21.25,45,33.75,0
ANOS1,P23352,20,45,35,50,32.5,17.5,35,42.5,22.5,40,42.5,17.5,7.5,90,2.5,58.75,20,21.25,47.5,23.75,28.75,46.25,21.25,32.5,36.25,50,13.75,41.25,57.5,1.25,20,18.75,61.25,22.5,16.25,61.25,22.5,55,22.5,31.25,42.5,26.25,23.75,51.25,25,32.5,63.75,3.75,40,48.75,11.25,42.5,37.5,20,11.25,61.25,27.5,33.75,38.75,27.5,28.75,57.5,13.75,15,50,35,16.25,48.75,35,12.5,37.5,50,0
AP2S1,P53680,38.75,23.75,37.5,23.75,40,36.25,43.75,13.75,42.5,21.25,42.5,36.25,15,72.5,12.5,45,38.75,16.25,43.75,38.75,17.5,40,18.75,41.25,10,67.5,22.5,31.25,55,13.75,30,23.75,46.25,35,18.75,46.25,42.5,31.25,26.25,26.25,47.5,26.25,50,32.5,17.5,38.75,40,21.25,38.75,56.25,5,42.5,46.25,11.25,27.5,46.25,26.25,31.25,38.75,30,25,58.75,16.25,21.25,38.75,40,23.75,45,31.25,30,36.25,33.75,0
CASR,P41180,27.5,35,37.5,37.5,31.25,31.25,41.25,28.75,30,30,38.75,31.25,11.25,78.75,10,52.5,27.5,20,45,32.5,22.5,37.5,21.25,41.25,22.5,56.25,21.25,35,56.25,8.75,20,25,55,25,20,55,30,40,30,28.75,41.25,30,38.75,45,16.25,41.25,41.25,17.5,36.25,53.75,10,38.75,46.25,15,20,53.75,26.25,36.25,37.5,26.25,26.25,56.25,17.5,21.25,41.25,37.5,23.75,41.25,35,22.5,36.25,41.25,0
ABCC9,O60706,18.75,33.75,47.5,31.25,43.75,25,50,26.25,23.75,25,50,25,2.5,95,2.5,55,18.75,26.25,30,37.5,32.5,31.25,17.5,51.25,18.75,63.75,17.5,17.5,77.5,5,21.25,22.5,56.25,22.5,21.25,56.25,23.75,37.5,38.75,31.25,33.75,35,38.75,37.5,23.75,31.25,58.75,10,38.75,53.75,7.5,43.75,37.5,18.75,11.25,77.5,11.25,31.25,42.5,26.25,22.5,58.75,18.75,23.75,56.25,20,25,62.5,12.5,11.25,46.25,42.5,0
ALB,P02768,31.25,30,38.75,31.25,36.25,32.5,41.25,23.75,35,27.5,40,32.5,12.5,75,12.5,50,31.25,18.75,48.75,33.75,17.5,32.5,27.5,40,18.75,61.25,20,31.25,61.25,7.5,22.5,26.25,51.25,27.5,21.25,51.25,35,38.75,26.25,30,41.25,28.75,31.25,46.25,22.5,33.75,48.75,17.5,33.75,61.25,5,37.5,48.75,13.75,20,51.25,28.75,30,35,35,27.5,62.5,10,21.25,33.75,45,22.5,42.5,35,23.75,40,36.25,0
ALDH4A1,P30038,30,38.75,31.25,42.5,33.75,23.75,32.5,36.25,31.25,33.75,42.5,23.75,13.75,75,11.25,46.25,30,23.75,52.5,21.25,26.25,36.25,25,38.75,23.75,62.5,13.75,37.5,56.25,6.25,20,27.5,52.5,25,22.5,52.5,31.25,46.25,22.5,30,46.25,23.75,35,42.5,22.5,33.75,52.5,13.75,37.5,51.25,11.25,38.75,43.75,17.5,18.75,52.5,28.75,35,31.25,33.75,27.5,61.25,11.25,8.75,43.75,47.5,11.25,46.25,42.5,21.25,31.25,47.5,0
AGXT,P21549,23.75,40,36.25,38.75,40,21.25,38.75,36.25,25,27.5,51.25,21.25,8.75,86.25,5,42.5,23.75,33.75,46.25,20,33.75,30,20,50,21.25,72.5,6.25,26.25,68.75,5,20,18.75,61.25,18.75,20,61.25,25,42.5,32.5,35,38.75,26.25,38.75,42.5,18.75,33.75,48.75,17.5,41.25,40,18.75,42.5,35,22.5,20,66.25,13.75,36.25,40,23.75,31.25,56.25,12.5,5,57.5,37.5,12.5,53.75,33.75,11.25,36.25,52.5,0
AHCY,P23526,27.5,38.75,33.75,41.25,33.75,25,36.25,35,28.75,35,40,25,12.5,76.25,11.25,47.5,27.5,25,52.5,23.75,23.75,35,27.5,37.5,26.25,62.5,11.25,40,53.75,6.25,17.5,27.5,55,22.5,22.5,55,28.75,46.25,25,31.25,43.75,25,33.75,46.25,20,28.75,52.5,18.75,37.5,50,12.5,38.75,41.25,20,22.5,46.25,31.25,38.75,30,31.25,27.5,57.5,15,8.75,50,41.25,15,47.5,37.5,21.25,32.5,46.25,0
ADK,P55263,43.75,26.25,30,30,41.25,28.75,32.5,21.25,46.25,23.75,47.5,28.75,16.25,62.5,21.25,40,43.75,16.25,58.75,17.5,23.75,31.25,30,38.75,15,76.25,8.75,28.75,60,11.25,25,26.25,48.75,31.25,20,48.75,46.25,30,23.75,38.75,38.75,22.5,43.75,37.5,18.75,28.75,40,31.25,30,61.25,8.75,32.5,52.5,15,23.75,45,31.25,28.75,31.25,40,26.25,70,3.75,10,28.75,61.25,12.5,40,47.5,27.5,31.25,41.25,0
APOC2,P02655,31.25,40,28.75,38.75,40,21.25,33.75,35,31.25,32.5,46.25,21.25,10,78.75,11.25,37.5,31.25,31.25,52.5,23.75,23.75,28.75,31.25,40,20,67.5,12.5,30,61.25,8.75,20,33.75,46.25,25,28.75,46.25,31.25,46.25,22.5,36.25,36.25,27.5,26.25,51.25,22.5,33.75,52.5,13.75,46.25,45,8.75,46.25,35,18.75,17.5,55,27.5,30,36.25,33.75,30,61.25,8.75,8.75,45,46.25,11.25,48.75,40,20,40,40,0
CA12,O43570,25,46.25,28.75,45,33.75,21.25,33.75,38.75,27.5,33.75,45,21.25,7.5,83.75,8.75,41.25,25,33.75,40,21.25,38.75,32.5,25,42.5,26.25,61.25,12.5,25,65,10,18.75,31.25,50,22.5,27.5,50,27.5,48.75,23.75,37.5,36.25,26.25,40,41.25,18.75,35,52.5,12.5,43.75,43.75,12.5,46.25,37.5,16.25,16.25,65,18.75,38.75,33.75,27.5,28.75,61.25,10,13.75,47.5,38.75,15,52.5,32.5,18.75,36.25,45,0
